Sessao;Data;Hora;Fase;Nivel;Posicao jogador;Tipo de Evento
1;2023-07-31;21:53:49.952468;2;1;(-370, 721);Sair
2;2023-07-31;21:55:40.824733;2;1;(205, 713);Som Desligado
2;2023-07-31;21:55:58.736457;2;1;(400, 458);Sair
3;2024-12-16;18:51:16.571880;2;1;(349, -1538);Sair
