Sessao;Data;Hora Inicio;Hora Fim;Fase Alcancada;Nivel Alcancado;Qt Acertos sem Ajuda;Qt Acertos com Ajuda;Qt Ajudas;Qt Erros;Qt Omissões
1;2023-07-31;21:52:47.107555;21:53:49.952468;2;1;6;0;0;0;0
2;2023-07-31;21:55:25.053619;21:55:58.736457;2;1;1;0;1;1;0
3;2024-12-16;18:50:52.960902;18:51:16.571880;2;1;0;0;0;0;0
