ID,Sessao,Hora do Evento,Fase,Nivel,Posicao jogador,Posicao Evento,Tipo de Evento
110,1,14:26:10,2,3,1,2,Criou Obstaculo
111,1,14:26:11,2,3,0,1,Trocou de Pista
112,1,14:26:12,2,3,-1,0,Saiu da area do jogo
113,1,14:26:14,2,3,0,1,Criou Obstaculo
114,1,14:26:15,2,3,1,0,Trocou de Pista
115,1,14:26:15,2,3,0,1,Trocou de Pista
116,1,14:26:15,2,3,-1,0,Saiu da area do jogo
117,1,14:26:17,2,3,-1,0,Saiu da area do jogo
118,1,14:26:19,2,3,0,0,Criou Obstaculo
119,1,14:26:19,2,3,1,1,Desviou de Obstaculo
120,1,14:26:19,2,3,1,0,Trocou de Pista
121,1,14:26:23,2,3,1,2,Desviou de Obstaculo
122,1,14:26:23,2,3,1,1,Criou Obstaculo
123,1,14:26:24,2,3,2,1,Trocou de Pista
124,1,14:26:24,2,3,1,2,Trocou de Pista
125,1,14:26:24,2,3,2,1,Trocou de Pista
126,1,14:26:24,2,3,1,2,Trocou de Pista
127,1,14:26:24,2,3,1,1,Colidiu com Obstaculo
128,1,14:26:26,2,3,1,0,Desviou de Obstaculo
129,1,14:26:26,2,3,2,1,Trocou de Pista
130,1,14:26:27,2,3,2,2,Criou Obstaculo
131,1,14:26:29,2,3,-1,2,Saiu da area do jogo
132,1,14:26:32,2,3,0,1,Criou Obstaculo
133,1,14:26:32,2,3,-1,0,Saiu da area do jogo
134,1,14:26:33,2,3,-1,0,Saiu da area do jogo
135,1,14:26:33,2,3,-1,0,Saiu da area do jogo
136,1,14:26:34,2,3,-1,0,Saiu da area do jogo
137,1,14:26:34,2,3,1,1,Desviou de Obstaculo
138,1,14:26:34,2,3,-1,0,Saiu da area do jogo
139,1,14:26:35,2,3,-1,0,Saiu da area do jogo
140,1,14:26:36,2,3,0,0,Criou Obstaculo
141,1,14:26:36,2,3,1,0,Trocou de Pista
142,1,14:26:40,2,3,1,2,Desviou de Obstaculo
143,1,14:26:40,2,3,1,1,Criou Obstaculo
144,1,14:26:41,2,3,2,1,Trocou de Pista
145,1,14:26:42,2,3,1,1,Colidiu com Obstaculo
146,1,14:26:43,2,3,1,0,Desviou de Obstaculo
147,1,14:26:43,2,3,1,2,Trocou de Pista
148,1,14:26:44,2,3,1,0,Criou Obstaculo
149,1,14:26:45,2,3,0,1,Trocou de Pista
150,1,14:26:46,2,3,-1,0,Saiu da area do jogo
151,1,14:26:47,2,3,-1,0,Saiu da area do jogo
152,1,14:26:48,2,3,0,1,Criou Obstaculo
153,1,14:26:49,2,3,1,0,Trocou de Pista
154,1,14:26:49,2,3,0,1,Trocou de Pista
155,1,14:26:50,2,3,1,1,Desviou de Obstaculo
156,1,14:26:50,2,3,1,0,Trocou de Pista
157,1,14:26:50,2,3,0,1,Trocou de Pista
158,1,14:26:50,2,3,-1,0,Saiu da area do jogo
159,1,14:26:51,2,3,1,0,Trocou de Pista
160,1,14:26:52,2,3,1,0,Criou Obstaculo
161,1,14:26:55,2,3,1,0,Desviou de Obstaculo
162,1,14:26:56,2,3,2,1,Trocou de Pista
163,1,14:26:56,2,3,2,1,Criou Obstaculo
164,1,14:26:56,2,3,1,2,Trocou de Pista
